,Track,Record,Driver Name
0,Australian Grand Prix,1:20.260,Charles Leclerc
1,Malaysian Grand Prix,1:34.080,Sebastian Vettel
2,Chinese Grand Prix,1:32.238,Michael Schumacher
3,Bahrain Grand Prix,1:30.252,Michael Schumacher
4,Spanish Grand Prix,1:15.641,Giancarlo Fisichella
5,Monaco Grand Prix,1:12.909,Lewis Hamilton
6,Turkish Grand Prix,1:24.770,Juan Pablo Montoya
7,British Grand Prix,1:18.739,Michael Schumacher
8,German Grand Prix,1:13.780,Kimi Räikkönen
9,Hungarian Grand Prix,1:16.207,Michael Schumacher
10,European Grand Prix,1:18.354,Juan Pablo Montoya
11,Belgian Grand Prix,1:45.108,Kimi Räikkönen
12,Italian Grand Prix,1:21.046,Rubens Barrichello
13,Singapore Grand Prix,1:41.905,Kevin Magnussen
14,Japanese Grand Prix,1:18.426,Felipe Massa
15,Brazilian Grand Prix,1:10.540,Valtteri Bottas
16,Abu Dhabi Grand Prix,1:26.103,Max Verstappen
17,Canadian Grand Prix,1:13.078,Valtteri Bottas
18,French Grand Prix,1:15.045,David Coulthard
19,United States Grand Prix,1:10.399,Rubens Barrichello
20,San Marino Grand Prix,1:20.411,Michael Schumacher
21,Austrian Grand Prix,1:06.200,Max Verstappen
22,Argentine Grand Prix,1:27.981,Gerhard Berger
23,Luxembourg Grand Prix,1:18.805,Heinz-Harald Frentzen
24,Portuguese Grand Prix,1:18.750,Lewis Hamilton
25,Korean Grand Prix,1:39.605,Sebastian Vettel
26,Indian Grand Prix,1:27.249,Sebastian Vettel
27,Russian Grand Prix,1:35.761,Lewis Hamilton
28,Mexican Grand Prix,1:18.741,Valtteri Bottas
29,Azerbaijan Grand Prix,1:43.009,Charles Leclerc
30,Styrian Grand Prix,1:05.619,Carlos Sainz
31,70th Anniversary Grand Prix,1:28.451,Lewis Hamilton
32,Tuscan Grand Prix,1:18.833,Lewis Hamilton
33,Eifel Grand Prix,1:28.139,Max Verstappen
34,Emilia Romagna Grand Prix,1:15.484,Lewis Hamilton
35,Sakhir Grand Prix,0:55.404,George Russell
36,Qatar Grand Prix,1:23.196,Max Verstappen
37,Dutch Grand Prix,1:11.097,Lewis Hamilton
38,Mexico City Grand Prix,1:17.774,Valtteri Bottas
39,São Paulo Grand Prix,1:11.010,Sergio Pérez
40,Saudi Arabian Grand Prix,1:30.734,Lewis Hamilton
41,Miami Grand Prix,1:31.361,Max Verstappen
